URL,GIT
/gitlab/gbaweb/asikincielesya-com,http://softwarepublico.gov.br/gitlab/gbaweb/asikincielesya-com.git
/gitlab/gconline/max-detox,http://softwarepublico.gov.br/gitlab/gconline/max-detox.git
/gitlab/geplanes/geplanes,http://softwarepublico.gov.br/gitlab/geplanes/geplanes.git
/gitlab/gepnet/gepnet,http://softwarepublico.gov.br/gitlab/gepnet/gepnet.git
/gitlab/geraugu/app-pariticipa-cidadao,http://softwarepublico.gov.br/gitlab/geraugu/app-pariticipa-cidadao.git
/gitlab/ggas/ggas,http://softwarepublico.gov.br/gitlab/ggas/ggas.git
/gitlab/ginga/ginga,http://softwarepublico.gov.br/gitlab/ginga/ginga.git
/gitlab/glimatec/desenvolvimento-de-sistemas,http://softwarepublico.gov.br/gitlab/glimatec/desenvolvimento-de-sistemas.git
/gitlab/gnuteca/gnuteca,http://softwarepublico.gov.br/gitlab/gnuteca/gnuteca.git
/gitlab/gog/gog,http://softwarepublico.gov.br/gitlab/gog/gog.git
/gitlab/goldblade/i-educar,http://softwarepublico.gov.br/gitlab/goldblade/i-educar.git
/gitlab/govbr/barra-govbr,http://softwarepublico.gov.br/gitlab/govbr/barra-govbr.git
/gitlab/gpweb/gpweb,http://softwarepublico.gov.br/gitlab/gpweb/gpweb.git
/gitlab/gsan/geosan,http://softwarepublico.gov.br/gitlab/gsan/geosan.git
/gitlab/gsan/gsan-auto-leitura,http://softwarepublico.gov.br/gitlab/gsan/gsan-auto-leitura.git
/gitlab/gsan/gsan-consenso,http://softwarepublico.gov.br/gitlab/gsan/gsan-consenso.git
/gitlab/gsan/gsan,http://softwarepublico.gov.br/gitlab/gsan/gsan.git
/gitlab/gsan/gsan-gruporas,http://softwarepublico.gov.br/gitlab/gsan/gsan-gruporas.git
/gitlab/guarux/guarux,http://softwarepublico.gov.br/gitlab/guarux/guarux.git
/gitlab/guilhermecantoni/mod-sei-pen,http://softwarepublico.gov.br/gitlab/guilhermecantoni/mod-sei-pen.git
/gitlab/guilhermecantoni/mod-sei-peticionamento,http://softwarepublico.gov.br/gitlab/guilhermecantoni/mod-sei-peticionamento.git
/gitlab/guilhermecantoni/ocr-server,http://softwarepublico.gov.br/gitlab/guilhermecantoni/ocr-server.git
/gitlab/guilhermecantoni/testpermissions,http://softwarepublico.gov.br/gitlab/guilhermecantoni/testpermissions.git
/gitlab/gustavold/gitlab-provisioning,http://softwarepublico.gov.br/gitlab/gustavold/gitlab-provisioning.git
/gitlab/gutocosta/sgce,http://softwarepublico.gov.br/gitlab/gutocosta/sgce.git
/gitlab/h1bertobarbosa/e-cidade,http://softwarepublico.gov.br/gitlab/h1bertobarbosa/e-cidade.git
/gitlab/harpiain/agente-windows,http://softwarepublico.gov.br/gitlab/harpiain/agente-windows.git
/gitlab/harpiain/cacic,http://softwarepublico.gov.br/gitlab/harpiain/cacic.git
/gitlab/henriqueoliveira/acs-lite,http://softwarepublico.gov.br/gitlab/henriqueoliveira/acs-lite.git
/gitlab/henriqueoliveira/gesinde,http://softwarepublico.gov.br/gitlab/henriqueoliveira/gesinde.git
/gitlab/henriqueoliveira/mineiro,http://softwarepublico.gov.br/gitlab/henriqueoliveira/mineiro.git
/gitlab/henriqueoliveira/starblockchain,http://softwarepublico.gov.br/gitlab/henriqueoliveira/starblockchain.git
/gitlab/henriqueoliveira/webbula,http://softwarepublico.gov.br/gitlab/henriqueoliveira/webbula.git
/gitlab/hugomelo/gamification,http://softwarepublico.gov.br/gitlab/hugomelo/gamification.git
/gitlab/hugomelo/juventude,http://softwarepublico.gov.br/gitlab/hugomelo/juventude.git
/gitlab/i3geo/i3geo,http://softwarepublico.gov.br/gitlab/i3geo/i3geo.git
/gitlab/i3geo/i3geo5,http://softwarepublico.gov.br/gitlab/i3geo/i3geo5.git
/gitlab/i3geo/i3geo6,http://softwarepublico.gov.br/gitlab/i3geo/i3geo6.git
/gitlab/i3geo/i3geo7,http://softwarepublico.gov.br/gitlab/i3geo/i3geo7.git
/gitlab/i3geo/i3geosaude,http://softwarepublico.gov.br/gitlab/i3geo/i3geosaude.git
/gitlab/i3geo/mapabaseosm,http://softwarepublico.gov.br/gitlab/i3geo/mapabaseosm.git
/gitlab/i3geo/saiku-server,http://softwarepublico.gov.br/gitlab/i3geo/saiku-server.git
/gitlab/i-educar/i-educar,http://softwarepublico.gov.br/gitlab/i-educar/i-educar.git
/gitlab/inilah-situs-judi-poker-dan-domino-aduq-terbaik-dan-terpercaya-di-indonesia/inilah-situs-judi-poker-dan-domino-aduq-terbaik-dan-terpercaya-di-indonesia,http://softwarepublico.gov.br/gitlab/inilah-situs-judi-poker-dan-domino-aduq-terbaik-dan-terpercaya-di-indonesia/inilah-situs-judi-poker-dan-domino-aduq-terbaik-dan-terpercaya-di-indonesia.git
/gitlab/inovacao-saneamento/gsan,http://softwarepublico.gov.br/gitlab/inovacao-saneamento/gsan.git
/gitlab/instruct/puppet-sei-aio,http://softwarepublico.gov.br/gitlab/instruct/puppet-sei-aio.git
/gitlab/invesalius/invesalius,http://softwarepublico.gov.br/gitlab/invesalius/invesalius.git
/gitlab/invesalius/invesalius3,http://softwarepublico.gov.br/gitlab/invesalius/invesalius3.git
/gitlab/jaguar/jaguar,http://softwarepublico.gov.br/gitlab/jaguar/jaguar.git
/gitlab/jaime/i-educar,http://softwarepublico.gov.br/gitlab/jaime/i-educar.git
/gitlab/joaopaulo2009/i-educar,http://softwarepublico.gov.br/gitlab/joaopaulo2009/i-educar.git
/gitlab/johnnysaymon/e-sic-livre,http://softwarepublico.gov.br/gitlab/johnnysaymon/e-sic-livre.git
/gitlab/jonathas/teste,http://softwarepublico.gov.br/gitlab/jonathas/teste.git
/gitlab/juliagomesribeiro02/celular,http://softwarepublico.gov.br/gitlab/juliagomesribeiro02/celular.git
/gitlab/kakocarlo/i-educar,http://softwarepublico.gov.br/gitlab/kakocarlo/i-educar.git
/gitlab/kayk100/i-educar,http://softwarepublico.gov.br/gitlab/kayk100/i-educar.git
/gitlab/keitarobr/otrs-cas,http://softwarepublico.gov.br/gitlab/keitarobr/otrs-cas.git
/gitlab/kleryton/repositorio-oficial-do-sistema-gsan-consenso-tecnologia,http://softwarepublico.gov.br/gitlab/kleryton/repositorio-oficial-do-sistema-gsan-consenso-tecnologia.git
/gitlab/koruja/koruja,http://softwarepublico.gov.br/gitlab/koruja/koruja.git
/gitlab/kubesei/kubesei,http://softwarepublico.gov.br/gitlab/kubesei/kubesei.git
/gitlab/kubesei/kubesei-solr,http://softwarepublico.gov.br/gitlab/kubesei/kubesei-solr.git
/gitlab/kubesei/sei-vagrant,http://softwarepublico.gov.br/gitlab/kubesei/sei-vagrant.git
/gitlab/kyapanel/kyapanel,http://softwarepublico.gov.br/gitlab/kyapanel/kyapanel.git
/gitlab/leandroarndt/e-sic-livre,http://softwarepublico.gov.br/gitlab/leandroarndt/e-sic-livre.git
/gitlab/leandronunes/social-network,http://softwarepublico.gov.br/gitlab/leandronunes/social-network.git
/gitlab/lemoce/easy-socket,http://softwarepublico.gov.br/gitlab/lemoce/easy-socket.git
/gitlab/leofl/articles,http://softwarepublico.gov.br/gitlab/leofl/articles.git
/gitlab/leopersan/e-sic-livre,http://softwarepublico.gov.br/gitlab/leopersan/e-sic-livre.git
/gitlab/lightbase/lbcinst,http://softwarepublico.gov.br/gitlab/lightbase/lbcinst.git
/gitlab/lightbase/lbdinst,http://softwarepublico.gov.br/gitlab/lightbase/lbdinst.git
/gitlab/lightbase/lbginst,http://softwarepublico.gov.br/gitlab/lightbase/lbginst.git
/gitlab/lightbase/lbiinst,http://softwarepublico.gov.br/gitlab/lightbase/lbiinst.git
/gitlab/lightbase/lbinstaller,http://softwarepublico.gov.br/gitlab/lightbase/lbinstaller.git
/gitlab/lightbase/lightbase,http://softwarepublico.gov.br/gitlab/lightbase/lightbase.git
/gitlab/lightbase-ged/lightbase,http://softwarepublico.gov.br/gitlab/lightbase-ged/lightbase.git
/gitlab/linux-educacional/linux-educacional,http://softwarepublico.gov.br/gitlab/linux-educacional/linux-educacional.git
/gitlab/lmatos/desenvolvimento-colaborativo,http://softwarepublico.gov.br/gitlab/lmatos/desenvolvimento-colaborativo.git
/gitlab/lp/carros,http://softwarepublico.gov.br/gitlab/lp/carros.git
/gitlab/lucianopc/apprecomender,http://softwarepublico.gov.br/gitlab/lucianopc/apprecomender.git
/gitlab/luziana/i-educar,http://softwarepublico.gov.br/gitlab/luziana/i-educar.git
/gitlab/maellson25/e-sic-livre,http://softwarepublico.gov.br/gitlab/maellson25/e-sic-livre.git
/gitlab/marca-sinais/marca-sinais,http://softwarepublico.gov.br/gitlab/marca-sinais/marca-sinais.git
/gitlab/MarcBen/internet-negocios,http://softwarepublico.gov.br/gitlab/MarcBen/internet-negocios.git
/gitlab/marcoamarelo/participacao-sitebase,http://softwarepublico.gov.br/gitlab/marcoamarelo/participacao-sitebase.git
/gitlab/maxalmeida/kalibro-processor-deps,http://softwarepublico.gov.br/gitlab/maxalmeida/kalibro-processor-deps.git
/gitlab/maxalmeida/softwarepublico,http://softwarepublico.gov.br/gitlab/maxalmeida/softwarepublico.git
/gitlab/mdarte/mdarte,http://softwarepublico.gov.br/gitlab/mdarte/mdarte.git
/gitlab/melissawen/juventude-template-default,http://softwarepublico.gov.br/gitlab/melissawen/juventude-template-default.git
/gitlab/melissawen/maranhao,http://softwarepublico.gov.br/gitlab/melissawen/maranhao.git
/gitlab/melissawen/participa-consulta,http://softwarepublico.gov.br/gitlab/melissawen/participa-consulta.git
/gitlab/melissawen/participa-site-template,http://softwarepublico.gov.br/gitlab/melissawen/participa-site-template.git
/gitlab/melissawen/participa-theme,http://softwarepublico.gov.br/gitlab/melissawen/participa-theme.git
/gitlab/melissawen/softwarepublico,http://softwarepublico.gov.br/gitlab/melissawen/softwarepublico.git
/gitlab/mezuro/colab,http://softwarepublico.gov.br/gitlab/mezuro/colab.git
/gitlab/mezuro/omniauth-remote-user,http://softwarepublico.gov.br/gitlab/mezuro/omniauth-remote-user.git
/gitlab/mezuro/pkg-rpm,http://softwarepublico.gov.br/gitlab/mezuro/pkg-rpm.git
/gitlab/mezuro/prezento,http://softwarepublico.gov.br/gitlab/mezuro/prezento.git
/gitlab/minuano/minuano,http://softwarepublico.gov.br/gitlab/minuano/minuano.git
/gitlab/mj/barra-govbr,http://softwarepublico.gov.br/gitlab/mj/barra-govbr.git
/gitlab/mj/protocolo-eletronico,http://softwarepublico.gov.br/gitlab/mj/protocolo-eletronico.git
/gitlab/mj/side,http://softwarepublico.gov.br/gitlab/mj/side.git
/gitlab/moisespalma/gsan-consenso-tecnologia,http://softwarepublico.gov.br/gitlab/moisespalma/gsan-consenso-tecnologia.git
/gitlab/moraes05/i-educar,http://softwarepublico.gov.br/gitlab/moraes05/i-educar.git
/gitlab/mp/mod-sei-peticionamento,http://softwarepublico.gov.br/gitlab/mp/mod-sei-peticionamento.git
/gitlab/mp/sei-db-ref-executivo,http://softwarepublico.gov.br/gitlab/mp/sei-db-ref-executivo.git
/gitlab/mp/protocolo_integrado,http://softwarepublico.gov.br/gitlab/mp/protocolo_integrado.git
/gitlab/mp/sei-query,http://softwarepublico.gov.br/gitlab/mp/sei-query.git
/gitlab/mp/sei-teste,http://softwarepublico.gov.br/gitlab/mp/sei-teste.git
/gitlab/mp/sei-vagrant,http://softwarepublico.gov.br/gitlab/mp/sei-vagrant.git
/gitlab/navi/navi,http://softwarepublico.gov.br/gitlab/navi/navi.git
/gitlab/nayanne/lbbulk,http://softwarepublico.gov.br/gitlab/nayanne/lbbulk.git
/gitlab/neto3000/i-educar,http://softwarepublico.gov.br/gitlab/neto3000/i-educar.git
/gitlab/nilsons/i-educar,http://softwarepublico.gov.br/gitlab/nilsons/i-educar.git
/gitlab/noosfero-apps/confjuvapp,http://softwarepublico.gov.br/gitlab/noosfero-apps/confjuvapp.git
/gitlab/noosfero-apps/discussion-app,http://softwarepublico.gov.br/gitlab/noosfero-apps/discussion-app.git
/gitlab/noosfero-apps/proposal-app,http://softwarepublico.gov.br/gitlab/noosfero-apps/proposal-app.git
/gitlab/noosferogov/angular-base-theme,http://softwarepublico.gov.br/gitlab/noosferogov/angular-base-theme.git
/gitlab/noosferogov/aprenderdf,http://softwarepublico.gov.br/gitlab/noosferogov/aprenderdf.git
/gitlab/noosferogov/errbit,http://softwarepublico.gov.br/gitlab/noosferogov/errbit.git
/gitlab/noosferogov/noosfero,http://softwarepublico.gov.br/gitlab/noosferogov/noosfero.git
/gitlab/noosferogov/pairwise-api,http://softwarepublico.gov.br/gitlab/noosferogov/pairwise-api.git
/gitlab/noosferogov/slides,http://softwarepublico.gov.br/gitlab/noosferogov/slides.git
/gitlab/noosferogov/webfinger-server,http://softwarepublico.gov.br/gitlab/noosferogov/webfinger-server.git
/gitlab/noosfero-icon-themes/participa-icon,http://softwarepublico.gov.br/gitlab/noosfero-icon-themes/participa-icon.git
/gitlab/noosfero-plugins/comment-paragraph,http://softwarepublico.gov.br/gitlab/noosfero-plugins/comment-paragraph.git
/gitlab/noosfero-plugins/community_hub,http://softwarepublico.gov.br/gitlab/noosfero-plugins/community_hub.git
/gitlab/noosfero-plugins/dialoga-plugin,http://softwarepublico.gov.br/gitlab/noosfero-plugins/dialoga-plugin.git
/gitlab/noosfero-plugins/email_article,http://softwarepublico.gov.br/gitlab/noosfero-plugins/email_article.git
/gitlab/noosfero-plugins/gamification,http://softwarepublico.gov.br/gitlab/noosfero-plugins/gamification.git
/gitlab/noosfero-plugins/gravatar-provider,http://softwarepublico.gov.br/gitlab/noosfero-plugins/gravatar-provider.git
/gitlab/noosfero-plugins/inclusao_digital,http://softwarepublico.gov.br/gitlab/noosfero-plugins/inclusao_digital.git
/gitlab/noosfero-plugins/insight,http://softwarepublico.gov.br/gitlab/noosfero-plugins/insight.git
/gitlab/noosfero-plugins/juventude,http://softwarepublico.gov.br/gitlab/noosfero-plugins/juventude.git
/gitlab/noosfero-plugins/notification,http://softwarepublico.gov.br/gitlab/noosfero-plugins/notification.git
/gitlab/noosfero-plugins/pairwise,http://softwarepublico.gov.br/gitlab/noosfero-plugins/pairwise.git
/gitlab/noosfero-plugins/proposals_discussion,http://softwarepublico.gov.br/gitlab/noosfero-plugins/proposals_discussion.git
/gitlab/noosfero-plugins/recaptcha,http://softwarepublico.gov.br/gitlab/noosfero-plugins/recaptcha.git
/gitlab/noosfero-plugins/serpro_captcha,http://softwarepublico.gov.br/gitlab/noosfero-plugins/serpro_captcha.git
/gitlab/noosfero-plugins/serpro_integration,http://softwarepublico.gov.br/gitlab/noosfero-plugins/serpro_integration.git
/gitlab/noosfero-plugins/site_tour,http://softwarepublico.gov.br/gitlab/noosfero-plugins/site_tour.git
/gitlab/noosfero-themes/angular-theme,http://softwarepublico.gov.br/gitlab/noosfero-themes/angular-theme.git
/gitlab/noosfero-themes/colabora,http://softwarepublico.gov.br/gitlab/noosfero-themes/colabora.git
/gitlab/noosfero-themes/conference,http://softwarepublico.gov.br/gitlab/noosfero-themes/conference.git
/gitlab/noosfero-themes/consulta,http://softwarepublico.gov.br/gitlab/noosfero-themes/consulta.git
/gitlab/noosfero-themes/dialoga,http://softwarepublico.gov.br/gitlab/noosfero-themes/dialoga.git
/gitlab/noosfero-themes/inclusao-digital,http://softwarepublico.gov.br/gitlab/noosfero-themes/inclusao-digital.git
/gitlab/noosfero-themes/juventude,http://softwarepublico.gov.br/gitlab/noosfero-themes/juventude.git
